lat,long
33° 34’ S,147° 25’ W
35° 34’ S,147° 25’ W
37° 0’ S,147° 21’ W
38° 20’ S,147° 6’ W
39° 28’ S,147° 0’ W
40° 12’ S,146° 29’ W
39° 45’ S,145° 39’ W
38° 54’ S,145° 39’ W
38° 29’ S,145° 32’ W
37° 52’ S,146° 2’ W
37° 49’ S,147° 30 W
37° 52’ S,147° 49’ W
36° 36’ S,147° 40’ W
36° 19’ S,149° 12’ W
35° 19’ S,150° 46’ W
34° 15’ S,152° 00’ W
33° 12’ S,152° 44’ W
32° 3’ S,153° 16’ W
32° 5’ S,153° 54’ W
32° 36’ S,156° 34’ W
31° 45’ S,158° 16’ W
31° 14’ S,159° 6’ W
29° 00’ S,159° 32’ W
29° 00’ S,159° 25’ W
29° 20’ S,159° 47’ W
30° 00’ S,160° 42’ W
31° 7’ S,161° 35’ W
31° 59’ S,162° 44’ W
33° 18’ S,162° 51’ W
34° 30’ S,165° 10’ W
36° 9’ S,167° 14’ W
37° 33’ S,168° 10’ W
38° 59’ S,169° 5’ W
38° 30’ S,170° 14’ W
38° 26’ S,172° 20’ W
37° 45’ S,172° 36’ W
37° 10’ S,172° 54’ W
36° 56’ S,173° 27’ W
37° 43’ S,175° 00’ W
38° 23’ S,176° 3’ W
39° 11’ S,177° 2’ W
38° 57’ S,177° 54’ W
39° 7’ S,179° 36’ E
39° 43’ S,178° 24’ E
40° 34’ S,178° 55’ E
37° 42’ S,179° E
37° 32’ S,179° 50’ E
37° 59’ S,177° 07’ E
37° 39’ S,177° 30’ E
36° 47’ S,176° 4’ E
36° 26’ S,176° 27’ E
36° 15’ S,176° 58’ E
35° 10’ S,175° 25’ E
34° 51’ S,174° 50’ E
34° 10’ S,177° 45’ E
34° 22’ S,174° 55’ E
34° 10’ S,173° 45’ E
34° 12’ S,172° 5’ E
35° 10’ S,172° 20’ E
35° 19’ S,172° 29’ E
34° 50’ S,172° 27 E
34° 30’ S,173° 18’ E
36° 31’ S,175° 50’ E
38° 4’ S,176° 42’ E
39° 16’ S,175° E
40° 27’ S,176° 39’ E
41° S,176° 45’ E
41° 34’ S,177° 58’ E
41° 42’ S,176° 47’ E
43° 52’ S,174° E
46° 54’ S,179° E
47° 43’ S,178 E
48° 0’ S,172° E
47° 12’ S,178° 2’ E
47° 19’ S,178° 12’ E
46° 24’ S,168° 49’ E
47° 40’ S,167° 50’ E
45° 54’ S,167° 17’ E
44° 5’ S,178° W
44° 0’ S,178° 20’ E
42° 8’ S,175° 5’ W
41° 37’ S,175° W
40° 55’ S, 174° W
40° 37’ S,175° 6’ E
48° S,179° E
40° S,110° W
26° S,146° W
28° S,123° W
